,Site,Time,Depth,Lime,Age,Nitro,Oil
0,1,88.5,7.0,1,,3.88,1
1,1,88.5,,1,,4.0,1
2,1,85.2,7.0,1,,3.69,1
3,1,71.8,7.6,1,65.0,3.88,0
4,1,70.6,7.5,1,42.0,3.53,0
5,1,68.0,7.0,1,28.0,3.93,0
6,1,71.6,8.0,1,35.0,3.88,0
7,1,70.2,6.0,1,44.0,3.64,0
8,1,55.5,6.0,0,29.0,3.97,0
9,1,36.5,6.5,0,,3.85,0
10,1,36.3,6.5,0,48.0,3.96,0
11,1,46.5,6.5,0,35.0,3.69,0
12,1,35.9,6.5,0,,3.76,0
13,1,45.5,6.5,0,34.0,3.75,0
14,1,43.0,6.5,0,38.0,3.75,0
15,1,44.9,6.5,0,27.0,3.92,0
16,1,59.5,8.0,0,26.0,3.76,0
17,1,58.3,8.0,0,23.0,3.93,0
18,1,56.5,8.0,0,35.0,3.7,0
19,1,56.3,8.0,0,23.0,3.82,0
20,1,43.0,6.5,0,40.0,3.78,0
21,1,42.5,9.0,0,31.0,4.0,0
22,1,29.0,7.5,0,31.0,3.92,0
23,1,35.3,8.5,0,39.0,3.79,0
24,2,93.6,4.0,1,39.0,3.49,0
25,2,90.0,4.0,1,43.0,3.57,0
26,2,88.0,5.5,1,26.0,3.43,0
27,2,84.4,5.0,1,,3.55,0
28,2,84.0,4.75,1,,3.5,0
29,2,79.7,4.75,1,47.0,3.27,0
30,2,67.4,4.5,1,39.0,3.66,0
31,2,64.7,5.0,1,27.0,3.9,0
32,2,64.7,5.5,1,35.0,3.91,0
33,2,38.3,7.0,0,21.0,3.73,0
34,2,59.6,9.25,0,46.0,3.72,0
35,2,32.0,9.0,0,24.0,3.85,0
36,2,32.2,9.0,0,27.0,3.85,0
37,2,26.5,7.0,0,34.0,4.06,0
38,2,34.7,8.5,0,30.0,4.04,0
39,2,27.6,6.0,0,22.0,4.0,0
40,2,35.7,9.0,0,19.0,3.93,0
41,2,49.6,9.0,0,50.0,3.85,0
