,Animal,Body,Brain,SWsleep,Parasleep,Totsleep,Life,Gest,Pred,Exposure,Danger
0,African_giant_pouched_rat,1.0,6.6,6.3,2.0,8.3,4.5,42.0,3,1,3
1,Asian_elephant,2547.0,4603.0,2.1,1.8,3.9,69.0,624.0,3,5,4
2,Baboon,10.55,179.5,9.1,0.7,9.8,27.0,180.0,4,4,4
3,Big_brown_bat,0.023,0.3,15.8,3.9,19.7,19.0,35.0,1,1,1
4,Brazilian_tapir,160.0,169.0,5.2,1.0,6.2,30.4,392.0,4,5,4
5,Cat,3.3,25.6,10.9,3.6,14.5,28.0,63.0,1,2,1
6,Chimpanzee,52.16,440.0,8.3,1.4,9.7,50.0,230.0,1,1,1
7,Chinchilla,0.425,6.4,11.0,1.5,12.5,7.0,112.0,5,4,4
8,Cow,465.0,423.0,3.2,0.7,3.9,30.0,281.0,5,5,5
9,Eastern_American_mole,0.075,1.2,6.3,2.1,8.4,3.5,42.0,1,1,1
10,Echidna,3.0,25.0,8.6,0.0,8.6,50.0,28.0,2,2,2
11,European_hedgehog,0.785,3.5,6.6,4.1,10.7,6.0,42.0,2,2,2
12,Galago,0.2,5.0,9.5,1.2,10.7,10.4,120.0,2,2,2
13,Goat,27.66,115.0,3.3,0.5,3.8,20.0,148.0,5,5,5
14,Golden_hamster,0.12,1.0,11.0,3.4,14.4,3.9,16.0,3,1,2
15,Gray_seal,85.0,325.0,4.7,1.5,6.2,41.0,310.0,1,3,1
16,Ground_squirrel,0.101,4.0,10.4,3.4,13.8,9.0,28.0,5,1,3
17,Guinea_pig,1.04,5.5,7.4,0.8,8.2,7.6,68.0,5,3,4
18,Horse,521.0,655.0,2.1,0.8,2.9,46.0,336.0,5,5,5
19,Lesser_short_tailed_shrew,0.005,0.14,7.7,1.4,9.1,2.6,21.5,5,2,4
20,Little_brown_bat,0.01,0.25,17.9,2.0,19.9,24.0,50.0,1,1,1
21,Human,62.0,1320.0,6.1,1.9,8.0,100.0,267.0,1,1,1
22,Mouse,0.023,0.4,11.9,1.3,13.2,3.2,19.0,4,1,3
23,Musk_shrew,0.048,0.33,10.8,2.0,12.8,2.0,30.0,4,1,3
24,N_American_opossum,1.7,6.3,13.8,5.6,19.4,5.0,12.0,2,1,1
25,Nine_banded_armadillo,3.5,10.8,14.3,3.1,17.4,6.5,120.0,2,1,1
26,Owl_monkey,0.48,15.5,15.2,1.8,17.0,12.0,140.0,2,2,2
27,Patas_monkey,10.0,115.0,10.0,0.9,10.9,20.2,170.0,4,4,4
28,Phanlanger,1.62,11.4,11.9,1.8,13.7,13.0,17.0,2,1,2
29,Pig,192.0,180.0,6.5,1.9,8.4,27.0,115.0,4,4,4
30,Rabbit,2.5,12.1,7.5,0.9,8.4,18.0,31.0,5,5,5
31,Rat,0.28,1.9,10.6,2.6,13.2,4.7,21.0,3,1,3
32,Red_fox,4.235,50.4,7.4,2.4,9.8,9.8,52.0,1,1,1
33,Rhesus_monkey,6.8,179.0,8.4,1.2,9.6,29.0,164.0,2,3,2
34,Rock_hyrax_(Hetero_b),0.75,12.3,5.7,0.9,6.6,7.0,225.0,2,2,2
35,Rock_hyrax_(Procavia_hab),3.6,21.0,4.9,0.5,5.4,6.0,225.0,3,2,3
36,Sheep,55.5,175.0,3.2,0.6,3.8,20.0,151.0,5,5,5
37,Tenrec,0.9,2.6,11.0,2.3,13.3,4.5,60.0,2,1,2
38,Tree_hyrax,2.0,12.3,4.9,0.5,5.4,7.5,200.0,3,1,3
39,Tree_shrew,0.104,2.5,13.2,2.6,15.8,2.3,46.0,3,2,2
40,Vervet,4.19,58.0,9.7,0.6,10.3,24.0,210.0,4,3,4
41,Water_opossum,3.5,3.9,12.8,6.6,19.4,3.0,14.0,2,1,1
